brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,images_dir,s3_dir,product_dimensions
Clarks Originals,WALLABEE PINK,"₹ 14,999.00",Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26170539,"Our heritage Wallabee in vibrant pink turns up the volume on summer style. An embroidered collar brings a tactile twist - complementing the soft suede uppers perfectly, while our statement crepe sole is left natural for a retro look.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wallabee-pink,data/raw/superkicks/men-sneakers/images/clarks originals/wallabee pink,,
Adidas Originals,D.O.N. ISSUE #4 PURPLE RUSHOFF WHITE,"₹ 10,999.00",ADIDAS,Vietnam,Adidas India Marketing Private Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,HR0710,"UTAH-INSPIRED DONOVAN MITCHELL SHOES. Donovan Mitchell attacks the rim with reckless abandon, no matter who's defending it. These adidas basketball shoes embody his fearless attitude on the hardwood and his willingness to put his body on the line. The colorway nods to the Utah mountains, symbolic of the place where he's honed his game. The Lightstrike midsole cushions your step without weighing you down, and the data-generated traction pattern lets you push the pace without losing grip.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/d-o-n-issue-4-purple-rush-off-white,data/raw/superkicks/men-sneakers/images/adidas originals/d.o.n. issue #4 purple rushoff white,,
Nike,AIR FORCE 1 MID 07 WHITECLEAR JADE,"₹ 10,795.00",Nike,Indonesia,Nike India Pvt. Ltd.,0.95kg,Shoe,1 Pair,Superkicks India Pvt. Ltd.,DV0806-102,"The Nike Air Force 1 Mid '07 is everything you know best: ‘80s construction, smooth leather and nothin’-but-net style. Plus, we're taking it up a notch with a padded, mid-cut collar with an adjustable strap.From tough stitching to pristine leather to the cupsole design, it delivers durable style that’s smoother than backboard glass.Originally designed for performance hoops, Nike Air cushioning delivers lasting comfort.Hook-and-loop closure lets you personalize your fit.Rubber outsole with heritage pivot circles adds traction and durability.More Details  Perforations on toe",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-force-1-mid-07-white-clear-jade,data/raw/superkicks/men-sneakers/images/nike/air force 1 mid 07 whiteclear jade,,
Nike,AIR PEGASUS 89 WHITERACER BLUE-PHOTON DUST,"₹ 10,795.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,FN3415-100,"The Nike Air Pegasus '89 resurrects a look that's as fresh as the era it came from. With suede overlays, a hidden Air unit and a Waffle outsole, this street-ready edition of the Pegasus blends retro style with modern comfort.Suede overlays pair with a shiny knit fabric to bring you a look inspired by the original Pegasus.Nike Air cushioning in the heel helps keep every step comfortable.Rubber Waffle outsole provides durable traction.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-pegasus-89-white-racer-blue-photon-dust,data/raw/superkicks/men-sneakers/images/nike/air pegasus 89 whiteracer blue-photon dust,,
Clarks Originals,WALLABEE GREEN,"₹ 14,999.00",Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26172073,"Our heritage Wallabee in vibrant pink turns up the volume on summer style. An embroidered collar brings a tactile twist - complementing the soft suede uppers perfectly, while our statement crepe sole is left natural for a retro look.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/wallabee-green,data/raw/superkicks/men-sneakers/images/clarks originals/wallabee green,,
Nike,AIR VAPORMAX 2023 FLYKNIT SANDDRIFTBRONZINE-BRONZINE-SANDDRIFT,"₹ 19,295.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DV1678-100,"Have you ever walked on Air? Step into the Air VaporMax 2023 to see how it's done. The innovative tech is revealed through the perforated sockliner (pull it out to see more). The stretchy Flyknit upper is made with at least 20% recycled content by weight.Lighter Than AirYou'll be walking on Air and feeling lighter than it—this shoe weighs less than any other model with this Air unit so far.Flying HighStretchy and supportive Flyknit upper creates a striking visual that's seamless, breathable and feels as light as air.The first 1-piece Air unit to run the entire length of a shoe, it allows for smoother transitions and adds unbelievable cushioning.Seamless collar sculpts the ankle and helps reduces hot spots.More Details  Rubber outsole Traditional lacing Not intended for use as Personal Protective Equipment (PPE)",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-vapormax-2023-flyknit-sanddrift-bronzine-bronzine-sanddrift,data/raw/superkicks/men-sneakers/images/nike/air vapormax 2023 flyknit sanddriftbronzine-bronzine-sanddrift,,
Nike,WAFFLE DEBUT WHITESTADIUM GREEN-BLACK-WHITE,"₹ 6,295.00",Nike,Indonesia,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DQ7684-101,"Retro gets modernized with these sleek sneaks inspired by the Nike Daybreak. Era-echoing suede and nylon are paired in complementary colors, and the updated wedge midsole gives you an extra lift. Style, comfort, iconic Waffle outsole—this is a perfect new addition to your daily rotation.Swoosh wraps around your heel to form a pull tab, adding aesthetic appeal to on-and-off functionality.Lifted foam midsoles give you an elevated look and all-day comfort.Soft suede overlays nod to vintage materials while textile underlays add durability.Rubber Waffle outsole adds durable traction and heritage style.More Details  Padded collar Exposed foam tongue Traditional lacing Perforations on heel",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/waffle-debut-white-stadium-green-black-white,data/raw/superkicks/men-sneakers/images/nike/waffle debut whitestadium green-black-white,,
Adidas Originals,FORUM MOD MID WHITECLAYPRELOVED YELLOW,"₹ 12,999.00",Adidas,China,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IE7121,"FORUM MOD MID SHOES MID-TOP SHOES MADE WITH RECYCLED AND VEGAN MATERIALS The adidas Forum like you've never seen it. This version of the iconic shoes pushes boundaries with expressive details and an all-new build. These distinguished trainers take on bold proportions with midfoot plugs and an extended midsole counter. The upper is part synthetic leather, part textile, and all vegan. And we haven't even mentioned all the fresh visual touches — like the net overlay on the 3-Stripes and the interplay of coloured panels. Yeah, these are sharp. To reduce our reliance on virgin materials, we make sure that our vegan alternatives also contain a minimum of 25% recycled content.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/forum-mod-mid-white-clay-preloved-yellow,data/raw/superkicks/men-sneakers/images/adidas originals/forum mod mid whiteclaypreloved yellow,,
Nike,AIR VAPORMAX 2023 FLYKNIT TRACK REDMYSTIC RED-TRACK RED-TRACK RED,"₹ 19,295.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,DV1678-600,"Have you ever walked on Air? Step into the Air VaporMax 2023 to see how it's done. The innovative tech is revealed through the perforated sockliner (pull it out to see more). The stretchy Flyknit upper is made with at least 20% recycled content by weight.Lighter Than AirYou'll be walking on Air and feeling lighter than it—this shoe weighs less than any other model with this Air unit so far.Flying HighStretchy and supportive Flyknit upper creates a striking visual that's seamless, breathable and feels as light as air.The first 1-piece Air unit to run the entire length of a shoe, it allows for smoother transitions and adds unbelievable cushioning.Seamless collar sculpts the ankle and helps reduces hot spots.More Details  Rubber outsole Traditional lacing Not intended for use as Personal Protective Equipment (PPE)",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-vapormax-2023-flyknit-track-red-mystic-red-track-red-track-red,data/raw/superkicks/men-sneakers/images/nike/air vapormax 2023 flyknit track redmystic red-track red-track red,,
Nike,BLAZER LOW 77 PREMIUM LIGHT BONEPHANTOM,"₹ 8,595.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DV7231-001,"Praised for its classic simplicity and comfort, the original hoops look is your tried-and-tested wardrobe staple. With low-profile style, plush collar details and a durable design, it's your no-brainer. The cork accents and wine-inspired colours give you a taste of the finer things.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/blazer-low-77-premium-light-bone-phantom,data/raw/superkicks/men-sneakers/images/nike/blazer low 77 premium light bonephantom,,
Adidas Originals,GAZELLE 85 GREENWHITEMETALLIC,"₹ 12,999.00",Adidas India Pvt. Ltd.,China,Adidas India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,IE2165,"A FRESH RELEASE OF A LOW-PROFILE CLASSIC. INSPIRED BY THE '80S ARCHIVES. The thing about timeless style is just that: It isn't bound by time. The adidas Gazelle shoes prove it, stepping with the same cool confidence now as they did when they debuted. This pair draws design inspiration from the 1985 archive with a modern update to bold colors that were just as loved back then. Signature details show up strong with metallic-gold branding, serrated 3-Stripes and of course that classic low-cut silhouette.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/gazelle-85-green-white-metallic,data/raw/superkicks/men-sneakers/images/adidas originals/gazelle 85 greenwhitemetallic,,
Asics,GEL-LYTE III OG TAUPE GREYDARK TAUPE,"₹ 10,999.00","WING STAR SHOES CO.,LTD.",Cambodia,ASICS INDIA PVT. LTD,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,1201A762.020,"The GEL-LYTE™ III OG sneaker emerges once again with its original shape and tooling that it featured in the early 1990s. Designed by Shigeyuki Mitsui in 1990, the GEL-LYTE™ III silhouette retains its iconic split-tongue formation. It was a feature that initially debuted on the GEL-LD RACER™ shoe. Meanwhile, key components, like its signature GEL® technology unit in the midsole, provide everyday comfort.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/gel-lyte-iii-og-taupe-grey-dark-taupe,data/raw/superkicks/men-sneakers/images/asics/gel-lyte iii og taupe greydark taupe,,
Jordan,AIR JORDAN 3 RETRO TRUE BLUECOPPER,"₹ 19,295.00",Nike,Vietnam,Nike India Pvt. Ltd.,0.95 KG,Shoe,1 Pair,Superkicks India Pvt. Ltd.,CT8532-148,"You know they look good—so where are you going to show 'em off? At the stadium, watching your favourite team? Going for a stroll with your sweetheart? Graduating with first-class honours? Wherever you debut this fresh AJ3, the regal combo of True Blue with Metallic Copper and elephant-print accents is bound to turn heads.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/air-jordan-3-true-blue-copper,data/raw/superkicks/men-sneakers/images/jordan/air jordan 3 retro true bluecopper,,
Adidas Originals,GAZELLE 85 PINK FUSIONCLOUD WHITE,"₹ 12,999.00",Adidas,Vietnam,adidas India Marketing Private Limited,0.95kg,Shoe,1 pair,Superkicks India Pvt. Ltd.,IG5004,"AN '80S DESIGN REVIVED AND REFINED FOR EFFORTLESS EVERYDAY STYLE. Styled after its '85 counterpart, these adidas Gazelle shoes offer a premium take on a timeless look that's been loved by musicians, trendsetters and skate legends throughout the decades. The low-profile silhouette, foxing tape and serrated 3-Stripes hit every cornerstone of this iconic design. Finished with classic colors, these sneakers are a style staple that's pretty hard to beat.",men-sneakers,https://www.superkicks.in/collections/men-sneakers,https://www.superkicks.in/products/gazelle-85-pink-fusion-cloud-white,data/raw/superkicks/men-sneakers/images/adidas originals/gazelle 85 pink fusioncloud white,,
